web-scraper-order,web-scraper-start-url,name,rating
"1616531737-175","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","3.9"
"1616531737-178","https://www.rappi.com.mx/restaurantes/category/pizza","lynchburg","null"
"1616531737-171","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1616531737-179","https://www.rappi.com.mx/restaurantes/category/pizza","La Sagrada Pizza","null"
"1616531737-169","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.8"
"1616531737-174","https://www.rappi.com.mx/restaurantes/category/pizza","Cardosanto Pizza","null"
"1616531737-168","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.7"
"1616531737-176","https://www.rappi.com.mx/restaurantes/category/pizza","La Santa Pizza","null"
"1616531737-172","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza.","null"
"1616531737-170","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7"
"1616531737-177","https://www.rappi.com.mx/restaurantes/category/pizza","Stromboli Pizza Villas","null"
"1616531737-173","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
