web-scraper-order,web-scraper-start-url,name,rating
"1616543156-40","https://www.rappi.com.mx/restaurantes/category/pizza","Pura Gula","null"
"1616543156-45","https://www.rappi.com.mx/restaurantes/category/pizza","Raffaelos Pizzería","null"
"1616543156-30","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1616543156-25","https://www.rappi.com.mx/restaurantes/category/pizza","Pronto Pizza Qro","null"
"1616543156-5","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.3"
"1616543156-35","https://www.rappi.com.mx/restaurantes/category/pizza","La Santa Pizza","null"
"1616543156-34","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1616543156-18","https://www.rappi.com.mx/restaurantes/category/pizza","ke chelas","null"
"1616543156-20","https://www.rappi.com.mx/restaurantes/category/pizza","TOSCANO PIZZA & ESPRESSOS","null"
"1616543156-41","https://www.rappi.com.mx/restaurantes/category/pizza","Pluma Cafe Bar","null"
"1616543156-46","https://www.rappi.com.mx/restaurantes/category/pizza","Pixxa","null"
"1616543156-1","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1616543156-16","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null"
"1616543156-14","https://www.rappi.com.mx/restaurantes/category/pizza","La Vieja Varsovia","null"
"1616543156-29","https://www.rappi.com.mx/restaurantes/category/pizza","Ristorante Brancacci","null"
"1616543156-23","https://www.rappi.com.mx/restaurantes/category/pizza","Mozza Pizzería","null"
"1616543156-10","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null"
"1616543156-32","https://www.rappi.com.mx/restaurantes/category/pizza","Mama’s y Papa’s","null"
"1616543156-44","https://www.rappi.com.mx/restaurantes/category/pizza","Utage Pizzas y Alitas","null"
"1616543156-31","https://www.rappi.com.mx/restaurantes/category/pizza","Alpaso Pizza","null"
"1616543156-28","https://www.rappi.com.mx/restaurantes/category/pizza","Wicklow Irish Pub","null"
"1616543156-19","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1616543156-6","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.4"
"1616543156-8","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Italia","null"
"1616543156-39","https://www.rappi.com.mx/restaurantes/category/pizza","Albrizzo 302 Pizza e Burger","null"
"1616543156-3","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1616543156-27","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1616543156-2","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8"
"1616543156-43","https://www.rappi.com.mx/restaurantes/category/pizza","El Reinita","null"
"1616543156-37","https://www.rappi.com.mx/restaurantes/category/pizza","Jaguar Azul","null"
"1616543156-7","https://www.rappi.com.mx/restaurantes/category/pizza","Güero's Pizza","null"
"1616543156-21","https://www.rappi.com.mx/restaurantes/category/pizza","Furiosa Sports Bar","null"
"1616543156-15","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pazza Cimatario","null"
"1616543156-26","https://www.rappi.com.mx/restaurantes/category/pizza","Alpaso Pizzería","null"
"1616543156-36","https://www.rappi.com.mx/restaurantes/category/pizza","York Pub","null"
"1616543156-24","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1616543156-13","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","null"
"1616543156-22","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1616543156-42","https://www.rappi.com.mx/restaurantes/category/pizza","Slicers Pizza","null"
"1616543156-33","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Furiosa","null"
"1616543156-38","https://www.rappi.com.mx/restaurantes/category/pizza","Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.","null"
"1616543156-17","https://www.rappi.com.mx/restaurantes/category/pizza","La Mía Pizza","4.8"
"1616543156-4","https://www.rappi.com.mx/restaurantes/category/pizza","San Teo","null"
"1616543156-9","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8"
"1616543156-11","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza York","null"
"1616543156-12","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.2"
