web-scraper-order,web-scraper-start-url,link,link-href,name,rating,evals
"1616531152-149","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Sagrada pizza (Lomas)","https://www.ubereats.com/queretaro/food-delivery/sagrada-pizza-lomas/o3y6WEgzRteTBi4wHE84Tg","Sagrada pizza (Lomas)","4.6","(31)"
"1616531221-155","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Domino's Fray Junípero","https://www.ubereats.com/queretaro/food-delivery/dominos-fray-junipero/-VlCukUKQBi0Cz3InFOskQ","Domino's Fray Junípero","4.2","(153)"
"1616530818-121","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Diktatur (Peralta)","https://www.ubereats.com/queretaro/food-delivery/diktatur-peralta/464Mm3tLTBO3N2OfFYcVMQ","Diktatur (Peralta)","null","null"
"1616531210-154","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Papa John's Pizza Milenio","https://www.ubereats.com/queretaro/food-delivery/papa-johns-pizza-milenio/RIFFXdc1QdGKGbQdjZlPKg","Papa John's Pizza Milenio","4.8","(176)"
"1616530843-123","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Cassava Roots (Paseo Queretaro)","https://www.ubereats.com/queretaro/food-delivery/cassava-roots-paseo-queretaro/NBxsTW6SSNKx8NE748-Udg","Cassava Roots (Paseo Queretaro)","4.5","(31)"
"1616530961-133","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Filemón Querétaro","https://www.ubereats.com/queretaro/food-delivery/filemon-queretaro/zpYWDz3VTuOcVUbOnv8SxA","Filemón Querétaro","null","null"
"1616530913-129","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Rocketto Quintana","https://www.ubereats.com/queretaro/food-delivery/rocketto-quintana/ZsbasKYGQKeBFV1kp72ztg","Rocketto Quintana","4.6","(86)"
"1616530973-134","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","La Gauchita del Sur","https://www.ubereats.com/queretaro/food-delivery/la-gauchita-del-sur/J7an9pDlRg2vQXb9HN5EMg","La Gauchita del Sur","null","null"
"1616530743-115","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","La Bocha","https://www.ubereats.com/queretaro/food-delivery/la-bocha/l7WmFXAFRGOlVzCIH8CWPg","La Bocha","null","null"
"1616531187-152","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwQ2FtcGFuYXJpbyUyMC0lMjBSZXNpZGVuY2lhbCUyMCUyNiUyMEdvbGYlMjBRdWVyJUMzJUE5dGFybyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjIxMzFjODExLTU0MmYtNjljNS1hZmI0LTdkODNlYzIzOWRkMyUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjE3NjI1NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzQ1MzI0NCU3RA%3D%3D","Sofía Pizzería Refugio","https://www.ubereats.com/queretaro/food-delivery/sofia-pizzeria-refugio/YzRxLnGLSSaASPM4vuUvaw","Sofía Pizzería Refugio","4.5","(81)"
