web-scraper-order,web-scraper-start-url,link,link-href,name,rating,evals
1616526918-19,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Smileys Wings & Pizza,https://www.ubereats.com/queretaro/food-delivery/smileys-wings-%26-pizza/0pHbuOJtTYay2mrWw3hvIQ,null,null,null
1616527199-29,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Protein Club Begonias,https://www.ubereats.com/queretaro/food-delivery/protein-club-begonias/wEAxeKLLQkqkbOiN-LPxUw,null,null,null
1616526475-4,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,DRAGON BURGER,https://www.ubereats.com/queretaro/food-delivery/dragon-burger/jFFKhFUIRZeg6kS33b42vQ,null,null,null
1616527585-42,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Bang Bang Pizzas VIP.,https://www.ubereats.com/queretaro/food-delivery/bang-bang-pizzas-vip/k6n6KUjySTiWiCzFtqzL3A,null,4.8,(88)
1616527692-46,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizzeria Las Gordibuenas,https://www.ubereats.com/queretaro/food-delivery/pizzeria-las-gordibuenas/anVg4iHgRtqNx8q8t57sHA,null,4.4,(76)
1616526782-14,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Tato's Pan y Pizza,https://www.ubereats.com/queretaro/food-delivery/tatos-pan-y-pizza/tcA4yyYBSm6d9hsFNFqLNw,null,null,null
1616527610-43,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Nitto's Pizza & Hamburguesas,https://www.ubereats.com/queretaro/food-delivery/nittos-pizza-%26-hamburguesas/lbby0qcmRfaTWwWaxj_Ndw,null,4.5,(25)
1616527746-48,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Tonino's Jurica,https://www.ubereats.com/queretaro/food-delivery/toninos-jurica/0EkR_5LkQ_uAjovyO6Oq0Q,null,4.7,(139)
1616526755-13,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Hawuaian Pizza,https://www.ubereats.com/queretaro/food-delivery/hawuaian-pizza/ksRUrq6gQzaG2EOHI-XybQ,null,null,null
1616526420-2,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Papowings,https://www.ubereats.com/queretaro/food-delivery/papowings/Y7kQrN3tSVSVMkTnOHixgg,null,null,null
1616527286-32,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Lecaroz (Mompani),https://www.ubereats.com/queretaro/food-delivery/lecaroz-mompani/5areLrFsRByUKfwMxOI95w,"Lecaroz (Mompani)",4.7,(335)
1616527858-52,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizzeta (Satelite),https://www.ubereats.com/queretaro/food-delivery/pizzeta-satelite/arO46FZ_QGWqO9blsrf67Q,"Pizzeta (Satelite)",4.4,(266)
1616526446-3,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Empanadas Gaucha,https://www.ubereats.com/queretaro/food-delivery/empanadas-gaucha/JNwlkBBtQwihpYO_0jAsFQ,null,null,null
1616526889-18,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,La Pizza de Don Cangrejo,https://www.ubereats.com/queretaro/food-delivery/la-pizza-de-don-cangrejo/33O_PO6TTK6iLmeUWrl59A,null,4.7,(85)
1616526653-10,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,El Grano de Oro,https://www.ubereats.com/queretaro/food-delivery/el-grano-de-oro/5_8r7h0nQRmtE7EutVLWlg,null,null,null
1616527143-27,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Torino's Pizza,https://www.ubereats.com/queretaro/food-delivery/torinos-pizza/rBBsAIjJRtSX-2FZ0hU8bA,null,null,null
1616527508-39,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Ponte Pizza - QRO,https://www.ubereats.com/queretaro/food-delivery/ponte-pizza-qro/UPLhj4ccSjedkAKALoSeoA,null,4.5,(39)
1616527664-45,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Bastard Queretaro,https://www.ubereats.com/queretaro/food-delivery/bastard-queretaro/YiBDpyKnTEaPYHRSDhEr7w,"Bastard Queretaro",4.6,(159)
1616527888-53,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Domino's Bernardo Quintana,https://www.ubereats.com/queretaro/food-delivery/dominos-bernardo-quintana/ciS75UHZSiCJUr9HYVWRkA,"Domino's Bernardo Quintana",4.4,(290)
1616526863-17,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Pizza & Love,https://www.ubereats.com/queretaro/food-delivery/pizza-%26-love/Q6r0ML2TSMagYHUglhDGXw,null,null,null
1616527359-34,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlVuaWRhZCUyMERlcG9ydGl2YSUyMGRlJTIwQ2Vycml0byUyMENvbG9yYWRvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyZDlhMmQ5NDMtMjY3NC0zNDJmLTFmZGYtODEzYzAzYzhhOGJiJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42MzQxOTQlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjQ2NTA5MzMlN0Q%3D&q=Pizza,Restaurante SAVE - Querétaro,https://www.ubereats.com/queretaro/food-delivery/restaurante-save-queretaro/2b4bu4m6QaGTSyVy6Fcjpg,null,4.7,(99)
