web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals
"1616543809-107","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Italianni's (Galerías Querétaro)","https://www.ubereats.com/queretaro/food-delivery/italiannis-galerias-queretaro/hV4aSpY-QEatebdNgfmZJg","Italianni's (Galerías Querétaro)","4.5","(152)"
"1616543391-48","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Mushi Reposteria","https://www.ubereats.com/queretaro/food-delivery/mushi-reposteria/u5u6c648RuGisJpvlXOO1Q","Mushi Reposteria","null","null"
"1616543940-125","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Domino's Querétaro Constituyentes","https://www.ubereats.com/queretaro/food-delivery/dominos-queretaro-constituyentes/yINZi4F9TqCamd-dxVFAGQ","Domino's Querétaro Constituyentes","4.5","(128)"
"1616543444-56","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Manceba","https://www.ubereats.com/queretaro/food-delivery/manceba/_NFVvHTlT5qu689d_MxqJw","Manceba","null","null"
"1616543431-54","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","La Campana","https://www.ubereats.com/queretaro/food-delivery/la-campana/lKJuCgE5TZuyJm8Tzt6D5A","La Campana","4.7","(12)"
"1616543583-74","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","USA WINGS QUERETARO HILVANA","https://www.ubereats.com/queretaro/food-delivery/usa-wings-queretaro-hilvana/XXt6QxavTVyysZEQulsrrw","USA WINGS QUERETARO HILVANA","null","null"
"1616543590-75","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Puerto Maria","https://www.ubereats.com/queretaro/food-delivery/puerto-maria/_uZpAKHiRQyQJkwmOfK9ww","Puerto Maria","4.3","(29)"
"1616543651-84","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Mr. Brown (Plaza Esfera)","https://www.ubereats.com/queretaro/food-delivery/mr-brown-plaza-esfera/T8bal22QShavacmBiG-Eqg","Mr. Brown (Plaza Esfera)","4.4","(19)"
"1616543816-108","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","TOSCANO PIZZA & ESPRESSOS","https://www.ubereats.com/queretaro/food-delivery/toscano-pizza-%26-espressos/RZstuCOyQSKjbtExE1WAlg","TOSCANO PIZZA & ESPRESSOS","4.1","(62)"
"1616543538-67","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE","Lecaroz (QUERETARO)","https://www.ubereats.com/queretaro/food-delivery/lecaroz-queretaro/YFKP1vC-RT6HLQ4PBScfBQ","Lecaroz (QUERETARO)","4.6","(270)"
